"","ID","HOME_AIRPORT_ID","LAT1","LON1","CODE","FLIGHT_TYPE_ID","FLIGHT_NATURE_ID","PORT_AIRPORT_ID","LAT2","LON2","DESCRIPTION1","FLYING_TIME","LAT1c","LON1c"
"71",4520,2933,"27:51:39:S","28:14:46:E","LBK",2,2,1845,"5:36:51:S","15:26:41:E","LUBUMBASHI / KINSHASA",0,-27.8608333333333,28.2461111111111
"72",4548,2933,"27:51:39:S","28:14:46:E","KLU",2,1,1845,"5:36:51:S","15:26:41:E","LUBUMBASHI / KINSHASA",345,-27.8608333333333,28.2461111111111
"73",4552,2933,"27:51:39:S","28:14:46:E","DUK",2,2,1845,"5:36:51:S","15:26:41:E","DOUALA / KINSHASA",0,-27.8608333333333,28.2461111111111
"74",4557,2933,"27:51:39:S","28:14:46:E","FIH",2,3,1845,"5:36:51:S","15:26:41:E","KINSHASA",210,-27.8608333333333,28.2461111111111
"75",4577,2933,"27:51:39:S","28:14:46:E","KDU",2,1,1845,"5:36:51:S","15:26:41:E","DOUALA / KINSHASA",0,-27.8608333333333,28.2461111111111
"76",10661,2933,"27:51:39:S","28:14:46:E","FBD",2,2,1845,"5:36:51:S","15:26:41:E","DOUALA / BRAZZAVILLE / KINSHASA",0,-27.8608333333333,28.2461111111111
"77",13656,2933,"27:51:39:S","28:14:46:E","FIH1",2,3,1845,"5:36:51:S","15:26:41:E","ABJ/FIH",0,-27.8608333333333,28.2461111111111
"78",4591,2933,"27:51:39:S","28:14:46:E","BZV",2,3,1848,"5:44:54:S","15:15:11:E","BRAZZAVILLE",0,-27.8608333333333,28.2461111111111
"79",12321,2933,"27:51:39:S","28:14:46:E","BCB",2,1,1848,"5:44:54:S","15:15:11:E","BAMAKO SENOU / BRAZZAVILLE / COTONOU",0,-27.8608333333333,28.2461111111111
"80",13623,2933,"27:51:39:S","28:14:46:E","BZV1",2,3,1848,"5:44:54:S","15:15:11:E","COO/BZV",0,-27.8608333333333,28.2461111111111
"81",13626,2933,"27:51:39:S","28:14:46:E","BZV2",2,3,1848,"5:44:54:S","15:15:11:E","COO/BKO/BZV",0,-27.8608333333333,28.2461111111111
"82",4587,2933,"27:51:39:S","28:14:46:E","BRZ",2,2,1852,"47:27:53:N","8:32:57:E","BRUSSELS / ZURICH",0,-27.8608333333333,28.2461111111111
"83",4649,2933,"27:51:39:S","28:14:46:E","FRZ",2,2,1852,"47:27:53:N","8:32:57:E","FRANKFURT / ZURICH",0,-27.8608333333333,28.2461111111111
"84",4770,2933,"27:51:39:S","28:14:46:E","ZRH",2,3,1852,"47:27:53:N","8:32:57:E","ZURICH",620,-27.8608333333333,28.2461111111111
"85",4410,2933,"27:51:39:S","28:14:46:E","BZA",2,2,1855,"5:15:41:N","4:4:25:W","BRAZZAVILLE / COTONOU / ABIDJAN",0,-27.8608333333333,28.2461111111111
"86",4579,2933,"27:51:39:S","28:14:46:E","KIB",2,2,1855,"5:15:41:N","4:4:25:W","KINSHASA / ABIDJAN",0,-27.8608333333333,28.2461111111111
"87",4626,2933,"27:51:39:S","28:14:46:E","AAC",2,3,1855,"5:15:41:N","4:4:25:W","ACCRA / ABIDJAN",485,-27.8608333333333,28.2461111111111
"88",4628,2933,"27:51:39:S","28:14:46:E","ABB",2,1,1855,"5:15:41:N","4:4:25:W","BRAZZAVILLE / ABIDJAN",485,-27.8608333333333,28.2461111111111
"89",4642,2933,"27:51:39:S","28:14:46:E","BAB",2,2,1855,"5:15:41:N","4:4:25:W","BRAZZAVILLE / ABIDJAN",0,-27.8608333333333,28.2461111111111
"90",4684,2933,"27:51:39:S","28:14:46:E","ABJ",2,3,1855,"5:15:41:N","4:4:25:W","ABIDJAN",0,-27.8608333333333,28.2461111111111
"91",4685,2933,"27:51:39:S","28:14:46:E","ABK",2,1,1855,"5:15:41:N","4:4:25:W","KINSHASA / ABIDJAN",0,-27.8608333333333,28.2461111111111
"92",12401,2933,"27:51:39:S","28:14:46:E","ABL",2,1,1855,"5:15:41:N","4:4:25:W","LAGOS / ABIDJAN",10,-27.8608333333333,28.2461111111111
"93",12421,2933,"27:51:39:S","28:14:46:E","LBJ",2,2,1855,"5:15:41:N","4:4:25:W","LAGOS / ABIDJAN",10,-27.8608333333333,28.2461111111111
"94",4386,2933,"27:51:39:S","28:14:46:E","DLA",2,3,1857,"4:0:22:N","9:43:10:E","DOUALA",0,-27.8608333333333,28.2461111111111
"95",4409,2933,"27:51:39:S","28:14:46:E","BBD",2,2,1857,"4:0:22:N","9:43:10:E","BRAZZAVILLE / LIBREVILLE / DOUALA",0,-27.8608333333333,28.2461111111111
"96",4418,2933,"27:51:39:S","28:14:46:E","DLB",2,1,1857,"4:0:22:N","9:43:10:E","BRAZZAVILLE / DOUALA",0,-27.8608333333333,28.2461111111111
"97",4439,2933,"27:51:39:S","28:14:46:E","LDU",2,2,1857,"4:0:22:N","9:43:10:E","LIBREVILLE / DOUALA",0,-27.8608333333333,28.2461111111111
"98",4440,2933,"27:51:39:S","28:14:46:E","DUL",2,1,1857,"4:0:22:N","9:43:10:E","LIBREVILLE / DOUALA",0,-27.8608333333333,28.2461111111111
"99",4453,2933,"27:51:39:S","28:14:46:E","KDO",2,2,1857,"4:0:22:N","9:43:10:E","KINSHASA / DOUALA",0,-27.8608333333333,28.2461111111111
"100",4484,2933,"27:51:39:S","28:14:46:E","HRD",2,2,1857,"4:0:22:N","9:43:10:E","HARARE / DOUALA",0,-27.8608333333333,28.2461111111111
