"","ID","HOME_AIRPORT_ID","LAT1","LON1","CODE","FLIGHT_TYPE_ID","FLIGHT_NATURE_ID","PORT_AIRPORT_ID","LAT2","LON2","DESCRIPTION1","FLYING_TIME","LAT1c","LON1c","LAT2c","LON2c","distanza"
"40",4620,2933,"27:51:39:S","28:14:46:E","SYD",2,3,1770,"34:3:14:S","151:10:37:E","SYDNEY",850,-27.8608333333333,28.2461111111111,-34.0538888888889,151.176944444444,10879.9275199003
"41",4621,2933,"27:51:39:S","28:14:46:E","SYP",2,1,1770,"34:3:14:S","151:10:37:E","PERTH / SYDNEY",0,-27.8608333333333,28.2461111111111,-34.0538888888889,151.176944444444,10879.9275199003
"42",4658,2933,"27:51:39:S","28:14:46:E","HPS",2,2,1770,"34:3:14:S","151:10:37:E","HARARE / PERTH / SYDNEY",0,-27.8608333333333,28.2461111111111,-34.0538888888889,151.176944444444,10879.9275199003
"43",4775,2933,"27:51:39:S","28:14:46:E","MSY",2,2,1770,"34:3:14:S","151:10:37:E","MELBOURNE / SYDNEY",0,-27.8608333333333,28.2461111111111,-34.0538888888889,151.176944444444,10879.9275199003
"44",4480,2933,"27:51:39:S","28:14:46:E","MEP",2,1,1771,"32:3:35:S","115:58:1:E","MELBOURNE / PERTH",0,-27.8608333333333,28.2461111111111,-32.0597222222222,115.966944444444,8213.72410494195
"45",4488,2933,"27:51:39:S","28:14:46:E","PER",2,3,1771,"32:3:35:S","115:58:1:E","PERTH",660,-27.8608333333333,28.2461111111111,-32.0597222222222,115.966944444444,8213.72410494195
"46",4784,2933,"27:51:39:S","28:14:46:E","BRU",2,3,1775,"50:54:5:N","4:29:4:E","BRUSSELS",0,-27.8608333333333,28.2461111111111,50.9013888888889,4.48444444444444,9063.62666758382
"47",4451,2933,"27:51:39:S","28:14:46:E","OST",2,3,1781,"51:11:56:N","2:51:44:E","OSTEND",0,-27.8608333333333,28.2461111111111,51.1988888888889,2.86222222222222,9136.45350404517
"48",4475,2933,"27:51:39:S","28:14:46:E","NBN",2,2,1790,"26:16:15:N","50:38:1:E","NAIROBI / BAHRAIN",0,-27.8608333333333,28.2461111111111,26.2708333333333,50.6336111111111,6477.41232067501
"49",4692,2933,"27:51:39:S","28:14:46:E","BAH",2,3,1790,"26:16:15:N","50:38:1:E","BAHRAIN",0,-27.8608333333333,28.2461111111111,26.2708333333333,50.6336111111111,6477.41232067501
"50",4385,2933,"27:51:39:S","28:14:46:E","BBC",2,2,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / LIBREVILLE / COTONOU",0,-27.8608333333333,28.2461111111111,6.35722222222222,2.38444444444444,4710.40014812715
"51",4402,2933,"27:51:39:S","28:14:46:E","BPC",2,2,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / POINTE NOIRE / COTONOU",0,-27.8608333333333,28.2461111111111,6.35722222222222,2.38444444444444,4710.40014812715
"52",4411,2933,"27:51:39:S","28:14:46:E","ACB",2,1,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / COTONOU / ABIDJAN",0,-27.8608333333333,28.2461111111111,6.35722222222222,2.38444444444444,4710.40014812715
"53",4482,2933,"27:51:39:S","28:14:46:E","BZC",2,2,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / COTONOU",0,-27.8608333333333,28.2461111111111,6.35722222222222,2.38444444444444,4710.40014812715
"54",4483,2933,"27:51:39:S","28:14:46:E","CBZ",2,1,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / COTONOU",480,-27.8608333333333,28.2461111111111,6.35722222222222,2.38444444444444,4710.40014812715
"55",12322,2933,"27:51:39:S","28:14:46:E","BCM",2,2,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / BAMAKO SENOU / COTONOU",0,-27.8608333333333,28.2461111111111,6.35722222222222,2.38444444444444,4710.40014812715
"56",13664,2933,"27:51:39:S","28:14:46:E","COO1",2,3,1793,"6:21:26:N","2:23:4:E","Cotonou",0,-27.8608333333333,28.2461111111111,6.35722222222222,2.38444444444444,4710.40014812715
"57",13668,2933,"27:51:39:S","28:14:46:E","CPJ",2,3,1793,"6:21:26:N","2:23:4:E","COO \ PNR",10,-27.8608333333333,28.2461111111111,6.35722222222222,2.38444444444444,4710.40014812715
"58",4476,2933,"27:51:39:S","28:14:46:E","GRU",2,3,1798,"24:33:52:S","47:31:37:W","SAO PAULO",495,-27.8608333333333,28.2461111111111,-24.5644444444444,-47.5269444444444,7442.06535612119
"59",10602,2933,"27:51:39:S","28:14:46:E","CSR",2,2,1798,"24:33:52:S","47:31:37:W","CAPE TOWN / RIO DE JANEIRO / SAO PAULO",0,-27.8608333333333,28.2461111111111,-24.5644444444444,-47.5269444444444,7442.06535612119
